Muestra;ADC
2296;3733
2297;4019
2298;3539
2299;2489
2300;1299
2301;347
2302;72
2303;524
2304;1581
2305;2792
2306;3741
2307;4026
2308;3566
2309;2498
2310;1277
2311;344
2312;73
2313;545
2314;1600
2315;2803
2316;3747
2317;4014
2318;3540
2319;2514
2320;1258
2321;331
2322;70
2323;546
2324;1674
2325;2823
2326;3737
2327;4012
2328;3527
2329;2508
2330;1270
2331;347
2332;56
2333;532
2334;1594
2335;2830
2336;3740
2337;4009
2338;3544
2339;2481
2340;1270
2341;354
2342;83
2343;563
2344;1650
2345;2826
2346;3791
2347;4003
2348;3537
2349;2487
2350;1205
2351;334
2352;73
2353;603
2354;1598
2355;2835
2356;3741
2357;4012
2358;3527
2359;2483
2360;1273
2361;348
2362;76
2363;535
2364;1604
2365;2891
2366;3740
2367;4013
2368;3552
2369;2417
2370;1233
2371;290
2372;77
2373;553
2374;1675
2375;2823
2376;3777
2377;4005
2378;3497
2379;2483
2380;1252
2381;338
2382;75
2383;551
2384;1627
2385;2851
2386;3746
2387;4007
2388;3537
2389;2476
2390;1248
2391;345
2392;76
2393;596
2394;1619
2395;2875
2396;3753
2397;4003
2398;3525
2399;2441
2400;1245
2401;323
2402;75
2403;604
2404;1615
2405;2909
2406;3751
2407;4021
2408;3495
2409;2471
2410;1244
2411;315
2412;75
2413;554
2414;1615
2415;2858
2416;3776
2417;4036
2418;3488
2419;2467
2420;1233
2421;313
2422;91
2423;571
2424;1649
2425;2900
2426;3755
2427;4015
2428;3507
2429;2457
2430;1234
2431;283
2432;84
2433;588
2434;1692
2435;2865
2436;3784
2437;4012
2438;3533
2439;2446
2440;1216
2441;304
2442;81
2443;571
2444;1630
2445;2851
2446;3785
2447;4030
2448;3520
2449;2447
2450;1163
2451;311
2452;80
2453;579
2454;1650
2455;2935
2456;3789
2457;3997
2458;3503
2459;2389
2460;1224
2461;307
2462;78
2463;576
2464;1656
2465;2876
2466;3779
2467;4020
2468;3494
2469;2421
2470;1223
2471;316
2472;64
2473;591
2474;1720
2475;2872
2476;3783
2477;4029
2478;3470
2479;2429
2480;1191
2481;303
2482;78
2483;611
2484;1709
2485;2887
2486;3821
2487;4006
2488;3475
2489;2393
2490;1181
2491;299
2492;66
2493;586
2494;1659
2495;2887
2496;3796
2497;4015
2498;3501
2499;2344
2500;1203
2501;278
2502;83
2503;595
2504;1715
2505;2909
2506;3794
2507;3991
2508;3434
2509;2415
2510;1165
2511;292
2512;84
2513;620
2514;1683
2515;2958
2516;3787
2517;4022
2518;3485
2519;2383
2520;1169
2521;284
2522;71
2523;604
2524;1705
2525;2906
2526;3807
2527;3985
2528;3475
2529;2375
2530;1180
2531;272
2532;80
2533;671
2534;1704
2535;2929
2536;3815
2537;4000
2538;3461
2539;2383
2540;1101
2541;295
2542;72
2543;615
2544;1699
2545;2936
2546;3815
2547;3996
2548;3456
2549;2362
2550;1138
2551;294
2552;87
2553;629
2554;1720
2555;2990
2556;3800
2557;4016
2558;3464
2559;2330
2560;1174
2561;284
2562;100
2563;639
2564;1752
2565;3000
2566;3824
2567;3977
2568;3453
2569;2375
2570;1125
2571;269
2572;86
2573;639
2574;1731
2575;2933
2576;3816
2577;4007
2578;3439
2579;2359
2580;1091
2581;283
2582;99
2583;644
2584;1745
2585;2975
2586;3799
2587;4005
2588;3439
2589;2292
2590;1156
2591;265
2592;71
2593;680
2594;1742
2595;2969
2596;3854
2597;4010
2598;3460
2599;2361
2600;1144
2601;287
2602;88
2603;655
2604;1731
2605;2935
2606;3815
2607;4015
2608;3409
2609;2361
2610;1105
2611;272
2612;84
2613;676
2614;1821
2615;2943
2616;3819
2617;4005
2618;3436
2619;2350
2620;1140
2621;254
2622;91
2623;663
2624;1739
2625;2965
2626;3827
2627;4007
2628;3438
2629;2343
2630;1132
2631;264
2632;94
2633;666
2634;1752
2635;2935
2636;3857
2637;3992
2638;3430
2639;2359
2640;1093
2641;275
